"","Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"208","5S",18.7049965776865,"Female","People","People_104_h",16,"Neutral",62.2395833333333,29.6875,19.2708333333333,TRUE
"209","5S",18.7049965776865,"Female","Faces","Faces_341_h",17,"Neutral",77.8645833333333,53.6458333333333,83.3333333333333,TRUE
"210","5S",18.7049965776865,"Female","Faces","Faces_343_h",18,"Neutral",24.21875,-11.9791666666667,67.1875,TRUE
"211","5S",18.7049965776865,"Female","People","People_201_v",19,"Negative",64.5833333333333,-30.2083333333333,8.07291666666666,TRUE
"212","5S",18.7049965776865,"Female","People","People_238_h",20,"Negative",100,-100,60.9375,FALSE
"213","5S",18.7049965776865,"Female","Faces","Faces_251_v",21,"Neutral",20.5729166666667,-18.75,59.1145833333333,TRUE
"214","5S",18.7049965776865,"Female","People","People_220_h",22,"Negative",58.0729166666667,-34.375,10.15625,TRUE
"215","5S",18.7049965776865,"Female","Faces","Faces_045_h",23,"Neutral",10.4166666666667,1.5625,22.1354166666667,FALSE
"216","5S",18.7049965776865,"Female","People","People_158_h",24,"Neutral",38.671875,31.25,71.875,TRUE
"217","5S",18.7049965776865,"Female","People","People_222_h",25,"Negative",62.2395833333333,-16.1458333333333,65.8854166666667,FALSE
"218","5S",18.7049965776865,"Female","Faces","Faces_149_v",26,"Negative",68.4895833333333,-60.9375,15.3645833333333,TRUE
"219","5S",18.7049965776865,"Female","People","People_097_h",27,"Neutral",20.0520833333333,3.64583333333334,20.5729166666667,FALSE
"220","5S",18.7049965776865,"Female","People","People_226_h",28,"Negative",73.9583333333333,-74.4791666666667,10.6770833333333,TRUE
"221","5S",18.7049965776865,"Female","Faces","Faces_170_h",29,"Negative",65.625,-37.5,76.0416666666667,FALSE
"222","5S",18.7049965776865,"Female","People","People_211_v",30,"Negative",73.1770833333333,-80.2083333333333,5.20833333333334,FALSE
"223","5S",18.7049965776865,"Female","Faces","Faces_367_h",31,"Negative",73.6979166666667,-72.3958333333333,73.4375,FALSE
"224","5S",18.7049965776865,"Female","Faces","Faces_366_h",32,"Negative",63.28125,-53.125,17.1875,TRUE
"225","5S",18.7049965776865,"Female","People","People_149_h",33,"Neutral",50,-1.5625,7.8125,FALSE
"226","5S",18.7049965776865,"Female","People","People_237_h",34,"Negative",53.3854166666667,-33.8541666666667,11.9791666666667,FALSE
